uid,i,signo,condicion,metricas_no_recuperadas,articulo_no_identificado,tipo,pmids,motivo_y_siguiente_paso
C00275,226,Soplo tubario (respiración bronquial),Enfermedad pulmonar obstructiva crónica,vpp;vpn,False,hallazgo,2221647,Sin valor predictivo observado recuperado para esta población
C00276,227,Egofonía,Enfermedad pulmonar obstructiva crónica,vpp;vpn,False,hallazgo,2221647;2745948;6699126,Sin valor predictivo observado recuperado para esta población
C00277,228,Disminución de la resonancia vocal,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00278,229,Estertores crepitantes,Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,8511731,Sin valor predictivo observado recuperado para esta población
C00280,230,Estertores crepitantes (para detectar infarto de miocardio en pacientes con dolor torácico),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,1952470;3945181,Sin valor predictivo observado recuperado para esta población
C00281,231,Estertores crepitantes (para detectar neumonía en pacientes con tos y fiebre),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,2221647;2745948;6699126;2642673,Sin valor predictivo observado recuperado para esta población
C00282,232,"Estertores crepitantes protoinspiratorios, al inicio de la inspiración (para detectar obstrucción crónica al flujo aéreo en pacientes con estertores)",Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,7952555,Sin valor predictivo observado recuperado para esta población
C00283,233,Estertores crepitantes protoinspiratorios (para detectar enfermedad grave en pacientes con obstrucción crónica al flujo aéreo),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00284,234,"Sibilancias espontáneas en respiración tranquila, sin espiración forzada (para detectar obstrucción crónica al flujo aéreo)",Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,8430714;12171846;10770147;12220364,Sin valor predictivo observado recuperado para esta población
C00285,235,Sibilancias espontáneas en respiración tranquila (para detectar neumonía en pacientes con tos y fiebre),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,2221647;2745948;2642673,Sin valor predictivo observado recuperado para esta población
C00286,236,Sibilancias espontáneas en respiración tranquila (para detectar tromboembolia pulmonar),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,12637130;16607053,Sin valor predictivo observado recuperado para esta población
C00287,237,Sibilancias durante la prueba de reto con metacolina (para detectar asma),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,9135854,Sin valor predictivo observado recuperado para esta población
C00288,238,Frote pleural (para detectar tromboembolia pulmonar),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00289,239,Frote pleural (para detectar derrame pleural),Estertores crepitantes y sibilancias,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00290,240,Tiempo espiratorio forzado menor de 3 segundos,Pruebas auxiliares para obstrucción crónica al flujo aéreo,ln;vpp;vpn,False,ordinal,,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00291,241,Tiempo espiratorio forzado de 3 a 9 segundos,Pruebas auxiliares para obstrucción crónica al flujo aéreo,sp;ln;vpp;vpn,False,ordinal,,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00292,242,Tiempo espiratorio forzado de 9 segundos o más,Pruebas auxiliares para obstrucción crónica al flujo aéreo,ln;vpp;vpn,False,ordinal,,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00293,243,Prueba de apagar el cerillo de Snider (para detectar FEV1 de 1.6 L o menos),Pruebas auxiliares para obstrucción crónica al flujo aéreo,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00294,244,Caquexia,Neumonía,vpp;vpn,False,hallazgo,6699126,Sin valor predictivo observado recuperado para esta población
C00295,245,Estado mental alterado,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00296,246,Frecuencia cardiaca mayor de 100 latidos por minuto (taquicardia),Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948;17606087,Sin valor predictivo observado recuperado para esta población
C00297,247,Temperatura >37.8 °C,Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948;17606087;2642673;18211312,Sin valor predictivo observado recuperado para esta población
C00298,248,Frecuencia respiratoria >28 rpm,Neumonía,vpp;vpn,False,hallazgo,2745948,Sin valor predictivo observado recuperado para esta población
C00299,249,Saturación de oxígeno menor de 95% por oximetría de pulso,Neumonía,vpp;vpn,False,hallazgo,2745948;17606087;18211312,Sin valor predictivo observado recuperado para esta población
C00300,250,Todos los signos vitales normales,Neumonía,vpp;vpn,False,hallazgo,2745948;17606087;1952308;17452700,Sin valor predictivo observado recuperado para esta población
C00301,251,Expansibilidad torácica asimétrica,Neumonía,vpp;vpn,False,hallazgo,6699126,Sin valor predictivo observado recuperado para esta población
C00302,252,Dolor a la palpación de la pared torácica,Neumonía,vpp;vpn,False,hallazgo,2642673,Sin valor predictivo observado recuperado para esta población
C00304,253,Disminución del murmullo vesicular,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00305,254,Soplo tubario (ruido respiratorio bronquial en la periferia del pulmón),Neumonía,vpp;vpn,False,hallazgo,2221647,Sin valor predictivo observado recuperado para esta población
C00306,255,Egofonía,Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00307,256,Estertores crepitantes,Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948;2642673,Sin valor predictivo observado recuperado para esta población
C00308,257,Sibilancias,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948;2642673,Sin valor predictivo observado recuperado para esta población
C00309,258,0 o 1 hallazgos presentes (conteo de hallazgos clínicos y pulmonares),Neumonía,ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00310,259,2 o 3 hallazgos presentes (conteo de hallazgos clínicos y pulmonares),Neumonía,sp;ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00311,260,4 o 5 hallazgos presentes (conteo de hallazgos clínicos y pulmonares),Neumonía,ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00312,261,Estado mental alterado,Neumonía: predictores de mortalidad hospitalaria,vpp;vpn,False,hallazgo,3389247;10320113;10515416;8977602;16638769,Sin valor predictivo observado recuperado para esta población
C00313,262,Frecuencia cardiaca mayor de 100 latidos por minuto (taquicardia),Neumonía: predictores de mortalidad hospitalaria,vpp;vpn,False,hallazgo,3389247,Sin valor predictivo observado recuperado para esta población
C00314,263,Presión arterial sistólica menor de 90 mmHg (hipotensión),Neumonía: predictores de mortalidad hospitalaria,vpp;vpn,False,hallazgo,10320113;3965559;6474390;18492742,Sin valor predictivo observado recuperado para esta población
C00315,264,Hipotermia,Neumonía: predictores de mortalidad hospitalaria,vpp;vpn,False,hallazgo,10320113;6474390,Sin valor predictivo observado recuperado para esta población
C00316,265,Frecuencia respiratoria >30 rpm,Neumonía: predictores de mortalidad hospitalaria,vpp;vpn,False,hallazgo,10320113;10515416;1872491;8100295,Sin valor predictivo observado recuperado para esta población
C00317,266,CURB-65: 0 puntos,Neumonía: predictores de mortalidad hospitalaria,ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00318,267,CURB-65: 1 puntos,Neumonía: predictores de mortalidad hospitalaria,sp;ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00319,268,CURB-65: 2 puntos,Neumonía: predictores de mortalidad hospitalaria,sp;ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00320,269,CURB-65: 3 puntos,Neumonía: predictores de mortalidad hospitalaria,sp;ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00321,270,CURB-65: 4 puntos,Neumonía: predictores de mortalidad hospitalaria,sp;ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00322,271,CURB-65: 5 puntos,Neumonía: predictores de mortalidad hospitalaria,ln;vpp;vpn,False,ordinal,15808136;16387948;11254821;17918017;19961875;17121867;19131448;18302806,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00324,272,Índice de diámetro torácico anteroposterior/transverso ≥0.9 (tórax en tonel),Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00325,273,Respiración con labios fruncidos,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00326,274,Uso de músculos accesorios: escalenos y esternocleidomastoideo,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00328,275,Descenso laríngeo mayor de 3 cm,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,10770147,Sin valor predictivo observado recuperado para esta población
C00330,276,Impulso cardiaco subxifoideo,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714;8441077,Sin valor predictivo observado recuperado para esta población
C00331,277,Ausencia de matidez cardíaca en el borde esternal inferior izquierdo,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714,Sin valor predictivo observado recuperado para esta población
C00332,278,Hipersonoridad en la región anterior alta del hemitórax derecho,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714,Sin valor predictivo observado recuperado para esta población
C00333,279,Excursión diafragmática menor de 2 cm por percusión,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714,Sin valor predictivo observado recuperado para esta población
C00334,280,Disminución del murmullo vesicular,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714;12171846,Sin valor predictivo observado recuperado para esta población
C00335,281,Puntaje de intensidad del murmullo vesicular ≤9 puntos,Enfermedad pulmonar obstructiva crónica (EPOC),ln;vpp;vpn,False,ordinal,954460;684671,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00336,282,Puntaje de intensidad del murmullo vesicular de 10 a 12 puntos,Enfermedad pulmonar obstructiva crónica (EPOC),sp;ln;vpp;vpn,False,ordinal,954460;684671,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00337,283,Puntaje de intensidad del murmullo vesicular de 13 a 15 puntos,Enfermedad pulmonar obstructiva crónica (EPOC),sp;ln;vpp;vpn,False,ordinal,954460;684671,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00338,284,Puntaje de intensidad del murmullo vesicular ≥16 puntos,Enfermedad pulmonar obstructiva crónica (EPOC),ln;vpp;vpn,False,ordinal,954460;684671,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00339,285,Estertores crepitantes inspiratorios tempranos,Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,7952555,Sin valor predictivo observado recuperado para esta población
C00340,286,Sibilancias en respiración tranquila (sin espiración forzada),Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714;8441077;10770147;12171846;12220364,Sin valor predictivo observado recuperado para esta población
C00341,287,Tiempo espiratorio forzado ≥9 segundos,Enfermedad pulmonar obstructiva crónica (EPOC),ln;vpp;vpn,False,ordinal,12220364;14097429,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00342,288,Tiempo espiratorio forzado de 3 a 9 segundos,Enfermedad pulmonar obstructiva crónica (EPOC),sp;ln;vpp;vpn,False,ordinal,12220364;14097429,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00343,289,Tiempo espiratorio forzado menor de 3 segundos,Enfermedad pulmonar obstructiva crónica (EPOC),ln;vpp;vpn,False,ordinal,12220364;14097429,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00344,290,"Regla combinada para EPOC: 2 de 3 criterios (tabaquismo de 70 paquetes-año o más, antecedente referido de bronquitis crónica o enfisema, disminución del murmullo vesicular)",Enfermedad pulmonar obstructiva crónica (EPOC),vpp;vpn,False,hallazgo,8430714,Sin valor predictivo observado recuperado para esta población
C00345,291,"Escala BAP-65, clase I: ningún criterio BAP presente (BUN elevado, alteración del estado mental, taquicardia) y edad ≤65 años",Predicción de ventilación mecánica o mortalidad hospitalaria en EPOC (escala BAP-65),sn;sp;ln;vpn,False,ordinal,19786679,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00346,292,"Escala BAP-65, clase II: ningún criterio BAP presente y edad mayor de 65 años",Predicción de ventilación mecánica o mortalidad hospitalaria en EPOC (escala BAP-65),sn;sp;ln;vpn,False,ordinal,19786679,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00347,293,"Escala BAP-65, clase III: 1 criterio BAP presente",Predicción de ventilación mecánica o mortalidad hospitalaria en EPOC (escala BAP-65),sn;sp;ln;vpn,False,ordinal,19786679,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00348,294,"Escala BAP-65, clase IV: 2 criterios BAP presentes",Predicción de ventilación mecánica o mortalidad hospitalaria en EPOC (escala BAP-65),sn;sp;ln;vpn,False,ordinal,19786679,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00349,295,"Escala BAP-65, clase V: 3 criterios BAP presentes",Predicción de ventilación mecánica o mortalidad hospitalaria en EPOC (escala BAP-65),sn;sp;ln;vpn,False,ordinal,19786679,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00350,296,Diaforesis,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00351,297,Cianosis,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00352,298,Frecuencia cardíaca mayor de 100 latidos por minuto (taquicardia),Tromboembolia pulmonar,vpp;vpn,False,hallazgo,12637130;15758840;11146703,Sin valor predictivo observado recuperado para esta población
C00353,299,Presión arterial sistólica ≤100 mmHg,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,11146703,Sin valor predictivo observado recuperado para esta población
C00354,300,Temperatura >38 °C,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,12637130;15758840;11146703,Sin valor predictivo observado recuperado para esta población
C00355,301,Frecuencia respiratoria mayor de 30 respiraciones por minuto,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,11146703,Sin valor predictivo observado recuperado para esta población
C00356,302,Uso de músculos accesorios de la respiración,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00357,303,Estertores crepitantes,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,16607053,Sin valor predictivo observado recuperado para esta población
C00358,304,Sibilancias,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,12637130;16607053,Sin valor predictivo observado recuperado para esta población
C00359,305,Frote pleural,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00360,306,Ingurgitación yugular,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,16607053,Sin valor predictivo observado recuperado para esta población
C00361,307,Levantamiento paraesternal izquierdo,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00362,308,Componente pulmonar del segundo ruido (P2) intenso,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00363,309,Galope de nueva aparición (tercer o cuarto ruido),Tromboembolia pulmonar,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00364,310,Dolor a la palpación de la pared torácica,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,15684025,Sin valor predictivo observado recuperado para esta población
C00365,311,Dolor o aumento de volumen unilateral de la pantorrilla,Tromboembolia pulmonar,vpp;vpn,False,hallazgo,11823768;12637130;15758840;16607053;7705157,Sin valor predictivo observado recuperado para esta población
C00368,312,Escala de Wells para tromboembolia pulmonar: 7 puntos o más (probabilidad alta),Tromboembolia pulmonar,ln;vpp;vpn,False,ordinal,15758840;12361811;11453709;15520710;16243195;18931619;17973649;20214691,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00372,313,Expansión torácica asimétrica,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00373,314,Disminución del frémito táctil (vocal),Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00375,315,Percusión auscultatoria anormal (método de Guarino),Derrame pleural,vpp;vpn,False,hallazgo,8164080,Sin valor predictivo observado recuperado para esta población
C00376,316,Murmullo vesicular disminuido o ausente,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00377,317,Disminución de la resonancia vocal,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00378,318,Estertores crepitantes,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00379,319,Frote pleural,Derrame pleural,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00380,320,Presión venosa yugular estimada elevada a la inspección (para detectar PVC medida >8 cm de agua),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,4812363;6650420;17060544,Sin valor predictivo observado recuperado para esta población
C00381,321,Presión venosa yugular estimada elevada a la inspección (para detectar PVC medida >12 cm de agua),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,4812363;6650420,Sin valor predictivo observado recuperado para esta población
C00382,322,Presión venosa yugular estimada elevada a la inspección (para detectar presiones diastólicas elevadas del corazón izquierdo),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,8409071;7437198;835934,Sin valor predictivo observado recuperado para esta población
C00383,323,Presión venosa yugular estimada elevada a la inspección (para detectar fracción de expulsión del ventrículo izquierdo baja),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,9205668;17827466,Sin valor predictivo observado recuperado para esta población
C00384,324,Presión venosa yugular estimada elevada a la inspección (para detectar infarto del miocardio en el paciente con dolor torácico),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,1952470,Sin valor predictivo observado recuperado para esta población
C00385,325,Presión venosa yugular estimada elevada a la inspección (para predecir edema pulmonar posoperatorio),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,904659;661558,Sin valor predictivo observado recuperado para esta población
C00386,326,Presión venosa yugular estimada elevada a la inspección (para predecir infarto del miocardio o muerte cardiaca posoperatorios),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,904659;661558,Sin valor predictivo observado recuperado para esta población
C00387,327,Presión venosa yugular estimada baja (para detectar PVC medida ≤5 cm de agua),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,17060544,Sin valor predictivo observado recuperado para esta población
C00388,328,Reflujo abdominoyugular positivo (para detectar presiones diastólicas elevadas del corazón izquierdo),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,8409071;2220606;3415106,Sin valor predictivo observado recuperado para esta población
C00389,329,Movimiento sistólico temprano del pulso venoso yugular (onda CV o onda v gigante) (para detectar insuficiencia tricuspídea moderada a grave),Inspección de las venas del cuello,vpp;vpn,False,hallazgo,20920693,Sin valor predictivo observado recuperado para esta población
C00390,330,Matidez cardiaca aumentada a la percusión (para detectar índice cardiotorácico >0.5),Percusión del corazón,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00391,331,Matidez cardiaca a la percusión que rebasa la línea medioclavicular (para detectar volumen telediastólico del ventrículo izquierdo aumentado),Percusión del corazón,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00392,332,Matidez cardiaca que rebasa la línea medioclavicular con el paciente sentado (para detectar índice cardiotorácico >0.5),Percusión del corazón,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00393,333,Impulso apical palpable anormal en tamaño o posición (para detectar índice cardiotorácico >0.5),Tamaño y posición del impulso apical palpable,vpp;vpn,False,hallazgo,1833957;2563789;2570201,Sin valor predictivo observado recuperado para esta población
C00394,334,Impulso apical de tamaño aumentado a la palpación (para detectar fracción de expulsión baja),Tamaño y posición del impulso apical palpable,vpp;vpn,False,hallazgo,6826952;17827466,Sin valor predictivo observado recuperado para esta población
C00395,335,Impulso apical de tamaño aumentado a la palpación (para detectar volumen telediastólico del ventrículo izquierdo aumentado),Tamaño y posición del impulso apical palpable,vpp;vpn,False,hallazgo,20206080;2591393,Sin valor predictivo observado recuperado para esta población
C00396,336,Impulso apical de tamaño aumentado a la palpación (para detectar presión capilar pulmonar en cuña >12 mm Hg),Tamaño y posición del impulso apical palpable,vpp;vpn,False,hallazgo,2591393,Sin valor predictivo observado recuperado para esta población
C00397,337,Impulso apical en decúbito supino a más de 10 cm de la línea medioesternal (para detectar índice cardiotorácico >0.5),Tamaño y posición del impulso apical palpable,vpp;vpn,False,hallazgo,1835287;2563789;2570201,Sin valor predictivo observado recuperado para esta población
C00399,338,Movimiento apical palpable anormal en pacientes con estenosis mitral (para detectar insuficiencia mitral o valvulopatía aórtica asociadas),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,13149911,Sin valor predictivo observado recuperado para esta población
C00400,339,Impulso apical sostenido o doble (para detectar hipertrofia ventricular izquierda),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,20206080,Sin valor predictivo observado recuperado para esta población
C00401,340,Impulso apical sostenido (para detectar estenosis aórtica grave en pacientes con soplo de expulsión aórtico),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,4083081,Sin valor predictivo observado recuperado para esta población
C00402,341,Impulso apical sostenido (para detectar insuficiencia aórtica moderada a grave en pacientes con soplo diastólico temprano en la base),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,14325909,Sin valor predictivo observado recuperado para esta población
C00403,342,Pulsaciones en la porción baja del esternón (para detectar insuficiencia tricuspídea moderada a grave),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,20920693,Sin valor predictivo observado recuperado para esta población
C00404,343,Levantamiento paraesternal izquierdo bajo sostenido (levantamiento del ventrículo derecho) (para detectar presión sistólica máxima del ventrículo derecho ≥50 mm Hg),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,14222541,Sin valor predictivo observado recuperado para esta población
C00405,344,Balanceo ventricular derecho (levantamiento paraesternal derecho con retracción apical simultánea) (para detectar insuficiencia tricuspídea moderada a grave),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,20920693,Sin valor predictivo observado recuperado para esta población
C00406,345,Hígado pulsátil (para detectar insuficiencia tricuspídea moderada a grave),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,20920693,Sin valor predictivo observado recuperado para esta población
C00407,346,Hígado pulsátil (para detectar hipertensión pulmonar en pacientes con estenosis mitral),Movimientos palpables anormales del precordio,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00409,347,Desdoblamiento amplio y fijo del segundo ruido (S2) (para detectar comunicación interauricular),Primer y segundo ruidos cardiacos,vpp;vpn,False,hallazgo,13585583,Sin valor predictivo observado recuperado para esta población
C00410,348,Desdoblamiento paradójico del segundo ruido (S2) (para detectar estenosis aórtica significativa),Primer y segundo ruidos cardiacos,vpp;vpn,False,hallazgo,3497570,Sin valor predictivo observado recuperado para esta población
C00411,349,"Componente pulmonar del segundo ruido (P2) intenso, para detectar hipertensión pulmonar",Hipertensión pulmonar,vpp;vpn,False,hallazgo,13228356,Sin valor predictivo observado recuperado para esta población
C00412,350,"Desdoblamiento paradójico del segundo ruido (S2) (para detectar hipertensión pulmonar, segunda serie)",Primer y segundo ruidos cardiacos,vpp;vpn,False,hallazgo,,Sin valor predictivo observado recuperado para esta población
C00414,351,Tercer ruido cardiaco (S3) para detectar fracción de expulsión <0.5,Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,6826952;16567599,Sin valor predictivo observado recuperado para esta población
C00415,352,Tercer ruido cardiaco (S3) para detectar fracción de expulsión <0.3,Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,6826952,Sin valor predictivo observado recuperado para esta población
C00416,353,"Tercer ruido cardiaco (S3, galope ventricular) (para detectar presiones de llenado elevadas del corazón izquierdo)",Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,16567599;2591393;7437198;835934,Sin valor predictivo observado recuperado para esta población
C00418,354,"Tercer ruido cardiaco (S3, galope ventricular) (para detectar infarto del miocardio en pacientes con dolor torácico agudo)",Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,3945181,Sin valor predictivo observado recuperado para esta población
C00419,355,"Tercer ruido cardiaco (S3, galope ventricular) (para predecir edema pulmonar posoperatorio)",Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,904659;661558,Sin valor predictivo observado recuperado para esta población
C00420,356,"Tercer ruido cardiaco (S3, galope ventricular) (para predecir infarto del miocardio o muerte cardiaca posoperatorios)",Tercer y cuarto ruidos cardiacos,vpp;vpn,False,hallazgo,904659;661558,Sin valor predictivo observado recuperado para esta población
